region,mean_eue_mwh,total_eue_mwh,neue_ppm
p99,0.5906589802130898,77612.59,21.235119291094083
p124,0.08231808219178081,10816.596,470.3650677164878
p126,0.029473823439878234,3872.8604,2.1229370097006317
p113,0.027689454337899544,3638.3943,11.066494638532875
p118,0.013034293759512938,1712.7062,2.937195822464159
p125,0.0066921613394216135,879.35,3.395346003268274
p123,0.006111049771689497,802.99194,0.5340975772146233
p111,0.004446712328767123,584.298,0.4313429650438258
p114,0.00020877474885844748,27.433002,0.053738111964179665
p100,0.00020736682648401825,27.248001,0.2203007969248442
p112,4.26179604261796e-05,5.6,0.004274485147805208
p117,7.43531202435312e-06,0.977,0.003726704046868739
p109,6.879756773211568e-06,0.90400004,0.0008043349738266387
p120,2.8234400304414004e-06,0.37100002,0.008578680181917955
p110,0.0,0.0,0.0
p115,0.0,0.0,0.0
p116,0.0,0.0,0.0
p121,0.0,0.0,0.0
z122,0.0,0.0,0.0
