region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,717776.4,3654916600.0,-58.7074406924471,value
p124,24353.922,23194.135,22996172.0,-50.43391569692557,value
p113,14831.151,12399.386,328775680.0,-7.396426037351667,value
p125,3919.1003,3683.0144,258986860.0,-0.9115748048132666,value
p126,12716.168,11888.909,1824293600.0,-0.4534681180096341,value
p110,0.0,13.830001,99486340.0,0.13901407525954118,value
p109,13.8359995,173.83199,1123909900.0,0.14235660012273155,value
p116,0.0,86.797,404781700.0,0.21442916233050222,value
p117,4.872,69.049995,262161950.0,0.24480285758629075,value
p111,1848.435,2762.4841,1354601900.0,0.6747732523407972,value
p114,179.839,556.682,510494340.0,0.7381923234501861,value
p112,46.225998,1040.0801,1310099300.0,0.7586097334445773,value
p120,3.307,42.251995,43246748.0,0.9005300236679068,value
p115,0.0,686.433,604805100.0,1.1349655902383895,value
z122,0.0,3122.233,2634114000.0,1.1853066887406083,value
p123,3534.9717,5317.63,1503455500.0,1.1857074015349898,value
p121,0.0,172.41602,126688130.0,1.3609485176069536,value
p100,102.355,521.70197,123685440.0,3.3904311615013047,value
p118,9798.439,14831.95,583109300.0,8.632191077065153,value
