region,added_peak_mw,added_min_mw,added_mean_mw,added_load_factor,added_ever_negative,base_peak_mw,high_peak_mw,added_share_of_base_peak
p60,57.0,40.0,49.927513,0.8759213,False,682.0,738.0,0.083577715
p61,144.0,102.0,127.46002,0.88513905,False,1741.0,1884.0,0.082711086
p62,133.0,94.0,117.294365,0.8819125,False,1602.0,1734.0,0.08302122
p63,3549.0,2507.0,3131.4492,0.8823469,False,42770.0,46283.0,0.082978725
p64,1235.0,872.0,1089.7864,0.8824181,False,14884.0,16107.0,0.08297501
p65,1660.0,1173.0,1465.104,0.8825928,False,20011.0,21655.0,0.08295438
p67,2190.0,1547.0,1932.276,0.8823178,False,26391.0,28559.0,0.08298284
