region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p64,171396.39,134321.88,1235.0,-37074.51000000001,-30.01984615384616,value
p65,199873.89,173601.81,1660.0,-26272.080000000016,-15.82655421686748,value
p63,421769.88,374880.47,3549.0,-46889.41000000003,-13.212006198929284,value
p67,11330.568,35574.973,2190.0,24244.405,11.070504566210046,value
p62,0.0,1680.9932,133.0,1680.9932,12.639046616541352,value
p60,0.0,798.759,57.0,798.759,14.013315789473685,value
p61,5.812,2071.7637,144.0,2065.9517,14.346886805555556,value
