region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,16572.865,22996172.0,-338.3631414828519,value
p99,932347.2,371122.38,3654916600.0,-153.55338580682604,value
p113,14831.151,3734.797,328775680.0,-33.75053166949575,value
p125,3919.1003,1200.7,258986860.0,-10.496286406248004,value
p126,12716.168,5555.4595,1824293600.0,-3.925195140954151,value
p109,13.8359995,205.13899,1123909900.0,0.17021203616281383,value
p110,0.0,22.476995,99486340.0,0.22593047350743725,value
p116,0.0,300.51297,404781700.0,0.7424075074778085,value
p117,4.872,222.13898,262161950.0,0.8287510004502866,value
p114,179.839,1023.4961,510494340.0,1.6526277384593742,value
p111,1848.435,4423.9355,1354601900.0,1.9012970405969971,value
p112,46.225998,3099.4746,1310099300.0,2.3305474147987657,value
p115,0.0,1566.9031,604805100.0,2.5907570028507694,value
p120,3.307,117.36599,43246748.0,2.6374003890419693,value
z122,0.0,9709.822,2634114000.0,3.6861813205743172,value
p123,3534.9717,10747.464,1503455500.0,4.797276911466501,value
p121,0.0,630.66406,126688130.0,4.9780833449524176,value
p100,102.355,1984.1332,123685440.0,15.214225700292614,value
p118,9798.439,25459.047,583109300.0,26.857070668766816,value
