region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,951.5239,9.0,-2967.5764,-329.7307111111111,value
p124,24353.922,19326.557,30.0,-5027.364999999998,-167.57883333333328,value
p99,932347.2,403853.4,4696.0,-528493.7999999999,-112.541269165247,value
p113,14831.151,2914.772,116.0,-11916.379,-102.7274051724138,value
p126,12716.168,5136.6865,157.0,-7579.4815,-48.27695222929936,value
p109,13.8359995,251.433,181.0,237.59700049999998,1.3126906104972373,value
p110,0.0,21.324997,16.0,21.324997,1.3328123125,value
p115,0.0,1068.9879,329.0,1068.9879,3.249203343465046,value
p120,3.307,85.164,24.0,81.857,3.4107083333333335,value
p114,179.839,806.76,181.0,626.921,3.463651933701658,value
p111,1848.435,3883.8625,480.0,2035.4275000000002,4.240473958333334,value
p112,46.225998,2545.9014,464.0,2499.6754020000003,5.3872314698275865,value
z122,0.0,8666.546,1433.0,8666.546,6.047833914863922,value
p116,0.0,262.114,43.0,262.114,6.09567441860465,value
p121,0.0,542.864,83.0,542.864,6.540530120481928,value
p117,4.872,195.47202,28.0,190.60001999999997,6.80714357142857,value
p123,3534.9717,11056.95,989.0,7521.978300000001,7.605640343781598,value
p100,102.355,1926.6309,159.0,1824.2759,11.473433333333334,value
p118,9798.439,27408.572,749.0,17610.133,23.511526034712954,value
