region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,818005.7,3654916600.0,-31.284297909759587,value
p124,24353.922,23857.12,22996172.0,-21.60368256073227,value
p113,14831.151,13086.568,328775680.0,-5.306301852983775,value
p125,3919.1003,3851.0037,258986860.0,-0.26293457107538803,value
p126,12716.168,12648.431,1824293600.0,-0.03713053579304451,value
p117,4.872,25.356,262161950.0,0.07813490799763347,value
p110,0.0,8.862002,99486340.0,0.08907757945774583,value
p109,13.8359995,117.70799,1123909900.0,0.0924202123400128,value
p116,0.0,44.298,404781700.0,0.10943676662691783,value
p112,46.225998,555.4889,1310099300.0,0.38872083292908916,value
p114,179.839,390.187,510494340.0,0.4120476666757768,value
p123,3534.9717,4169.5537,1503455500.0,0.42208233304210757,value
p111,1848.435,2432.2039,1354601900.0,0.43095238458022606,value
p120,3.307,24.665998,43246748.0,0.49388680045953975,value
p115,0.0,347.54993,604805100.0,0.5746477972937796,value
z122,0.0,1630.6752,2634114000.0,0.6190602116252789,value
p121,0.0,88.429,126688130.0,0.6980054200500934,value
p100,102.355,323.41306,123685440.0,1.787260165788309,value
p118,9798.439,13591.332,583109300.0,6.504600290108212,value
