region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,818726.25,3654916600.0,-31.08715250884322,value
p124,24353.922,23847.66,22996172.0,-22.01505537530328,value
p113,14831.151,14252.003,328775680.0,-1.761529319930231,value
p118,9798.439,9561.459,583109300.0,-0.40640750391583447,value
p126,12716.168,12514.504,1824293600.0,-0.11054360792725655,value
p125,3919.1003,3897.507,258986860.0,-0.08337604335021409,value
p114,179.839,167.59299,510494340.0,-0.023988532558371054,value
p117,4.872,2.128,262161950.0,-0.010466812514426197,value
p109,13.8359995,13.146,1123909900.0,-0.0006139277778113106,value
p116,0.0,0.0,404781700.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p115,0.0,0.0,604805100.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p112,46.225998,49.098,1310099300.0,0.0021922017198378425,value
p120,3.307,3.68,43246748.0,0.008624925971312345,value
p123,3534.9717,3599.4912,1503455500.0,0.04291414046838737,value
p111,1848.435,1923.327,1354601900.0,0.05528709389277558,value
p100,102.355,112.82299,123685440.0,0.0846339714682666,value
