region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2040.8638,9.0,-1878.2365,-208.69294444444444,value
p124,24353.922,19133.805,30.0,-5220.116999999998,-174.00389999999996,value
p99,932347.2,406461.22,4696.0,-525885.98,-111.9859412265758,value
p113,14831.151,6632.409,116.0,-8198.742,-70.67881034482758,value
p126,12716.168,7821.284,157.0,-4894.884,-31.177605095541402,value
p109,13.8359995,269.24802,181.0,255.41202049999998,1.411116135359116,value
p110,0.0,23.201998,16.0,23.201998,1.450124875,value
p120,3.307,113.79801,24.0,110.49101,4.6037920833333335,value
p115,0.0,1577.1069,329.0,1577.1069,4.793637993920973,value
p114,179.839,1094.0502,181.0,914.2112,5.050890607734806,value
p111,1848.435,4677.0146,480.0,2828.5796000000005,5.892874166666668,value
z122,0.0,9062.1,1433.0,9062.1,6.323866015352408,value
p121,0.0,533.45905,83.0,533.45905,6.427217469879519,value
p112,46.225998,3048.9905,464.0,3002.764502,6.471475219827586,value
p116,0.0,280.05,43.0,280.05,6.5127906976744185,value
p123,3534.9717,10160.072,989.0,6625.1003,6.698786956521739,value
p117,4.872,207.76901,28.0,202.89701000000002,7.2463217857142865,value
p100,102.355,1714.8477,159.0,1612.4927,10.141463522012579,value
p118,9798.439,23863.0,749.0,14064.561,18.777785046728972,value
