region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1781.384,9.0,-2137.7163,-237.52403333333334,value
p124,24353.922,18135.93,30.0,-6217.991999999998,-207.26639999999995,value
p99,932347.2,361729.34,4696.0,-570617.8599999999,-121.51146933560474,value
p113,14831.151,7894.442,116.0,-6936.709,-59.79921551724138,value
p126,12716.168,7603.3296,157.0,-5112.8384,-32.56584968152866,value
p118,9798.439,6507.5864,749.0,-3290.8526,-4.393661682242991,value
p111,1848.435,1402.1321,480.0,-446.3028999999999,-0.9297977083333332,value
p114,179.839,87.693,181.0,-92.146,-0.5090939226519338,value
p117,4.872,2.37,28.0,-2.502,-0.08935714285714284,value
p123,3534.9717,3453.563,989.0,-81.40869999999995,-0.0823141557128412,value
p109,13.8359995,0.574,181.0,-13.2619995,-0.07327071546961327,value
p120,3.307,2.122,24.0,-1.185,-0.049375,value
p112,46.225998,31.177,464.0,-15.048997999999997,-0.03243318534482758,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.60599995,1433.0,0.60599995,0.00042288900907187717,value
p100,102.355,112.38,159.0,10.024999999999991,0.06305031446540875,value
