region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2116.4297,9.0,-1802.6706,-200.29673333333332,value
p99,932347.2,561304.7,4696.0,-371042.5,-79.01245741056218,value
p113,14831.151,6912.86,116.0,-7918.291,-68.26112931034483,value
p124,24353.922,22680.639,30.0,-1673.2829999999994,-55.77609999999998,value
p126,12716.168,8472.707,157.0,-4243.460999999999,-27.02841401273885,value
p110,0.0,56.454002,16.0,56.454002,3.528375125,value
p109,13.8359995,793.82605,181.0,779.9900505,4.309337295580111,value
p120,3.307,189.08897,24.0,185.78197,7.740915416666667,value
p115,0.0,2576.466,329.0,2576.466,7.831203647416413,value
p111,1848.435,5616.9287,480.0,3768.4937000000004,7.851028541666667,value
p114,179.839,1661.7078,181.0,1481.8688,8.18712044198895,value
p123,3534.9717,12404.307,989.0,8869.3353,8.967983114256826,value
p121,0.0,766.6881,83.0,766.6881,9.237206024096386,value
p112,46.225998,4381.644,464.0,4335.418002,9.343573280172414,value
z122,0.0,13483.629,1433.0,13483.629,9.409371249127705,value
p116,0.0,405.72604,43.0,405.72604,9.435489302325582,value
p117,4.872,287.61603,28.0,282.74403,10.098001071428572,value
p100,102.355,2063.2993,159.0,1960.9443,12.332983018867925,value
p118,9798.439,31272.941,749.0,21474.502,28.670897196261684,value
