region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2369.1614,9.0,-1549.9389,-172.21543333333335,value
p99,932347.2,458497.84,4696.0,-473849.3599999999,-100.90488926746166,value
p124,24353.922,21783.97,30.0,-2569.9519999999975,-85.66506666666659,value
p113,14831.151,7600.123,116.0,-7231.028,-62.33644827586207,value
p126,12716.168,9004.734,157.0,-3711.4339999999993,-23.639707006369424,value
p110,0.0,30.053999,16.0,30.053999,1.8783749375,value
p109,13.8359995,477.76196,181.0,463.9259605,2.56312685359116,value
p115,0.0,1509.9622,329.0,1509.9622,4.589550759878419,value
p120,3.307,114.11498,24.0,110.80798,4.616999166666667,value
p114,179.839,1021.097,181.0,841.258,4.647834254143647,value
p111,1848.435,4186.977,480.0,2338.542,4.8719624999999995,value
p121,0.0,460.44803,83.0,460.44803,5.547566626506025,value
p116,0.0,239.30598,43.0,239.30598,5.565255348837209,value
p112,46.225998,2673.5576,464.0,2627.331602,5.662352590517242,value
p123,3534.9717,9305.401,989.0,5770.4293,5.8346100101112235,value
z122,0.0,8413.475,1433.0,8413.475,5.871231681786462,value
p117,4.872,174.32002,28.0,169.44801999999999,6.051715,value
p100,102.355,1464.0007,159.0,1361.6457,8.563809433962264,value
p118,9798.439,25489.78,749.0,15691.340999999999,20.949720961281706,value
