region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,17015.453,30.0,-7338.468999999997,-244.61563333333325,value
p125,3919.1003,1877.003,9.0,-2042.0973000000001,-226.89970000000002,value
p99,932347.2,322754.62,4696.0,-609592.58,-129.81102640545143,value
p113,14831.151,8520.503,116.0,-6310.647999999999,-54.402137931034474,value
p126,12716.168,8273.318,157.0,-4442.85,-28.298407643312103,value
p118,9798.439,6910.3706,749.0,-2888.0684,-3.855899065420561,value
p111,1848.435,1446.199,480.0,-402.2359999999999,-0.8379916666666664,value
p114,179.839,91.847,181.0,-87.992,-0.4861436464088398,value
p117,4.872,2.642,28.0,-2.23,-0.07964285714285714,value
p109,13.8359995,1.323,181.0,-12.5129995,-0.06913259392265193,value
p123,3534.9717,3485.2114,989.0,-49.760299999999916,-0.05031375126390285,value
p120,3.307,2.1879997,24.0,-1.1190002999999997,-0.046625012499999986,value
p112,46.225998,32.092,464.0,-14.133997999999998,-0.030461202586206892,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,112.147,159.0,9.792000000000002,0.061584905660377366,value
