region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,590518.56,3654916600.0,-93.52570158558318,value
p124,24353.922,22928.295,22996172.0,-61.99410058334929,value
p113,14831.151,11055.744,328775680.0,-11.483230754780886,value
p125,3919.1003,3105.9604,258986860.0,-3.1396955329749856,value
p118,9798.439,8564.5205,583109300.0,-2.116101517514438,value
p126,12716.168,11336.89,1824293600.0,-0.7560614014136954,value
p111,1848.435,1689.353,1354601900.0,-0.11743819727942251,value
p114,179.839,133.09401,510494340.0,-0.0915680874469095,value
p123,3534.9717,3479.1172,1503455500.0,-0.03715075068454565,value
p117,4.872,2.088,262161950.0,-0.010619389956327453,value
p120,3.307,2.851,43246748.0,-0.010544145423373797,value
p112,46.225998,34.631,1310099300.0,-0.008850472442956628,value
p109,13.8359995,7.538,1123909900.0,-0.005603651651474748,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,111.272,123685440.0,0.07209417697022383,value
