region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,935.0351,9.0,-2984.0652,-331.5628,value
p113,14831.151,3757.6648,116.0,-11073.4862,-95.46108793103448,value
p124,24353.922,21726.807,30.0,-2627.114999999998,-87.57049999999994,value
p99,932347.2,555197.4,4696.0,-377149.79999999993,-80.31298977853491,value
p126,12716.168,5382.5264,157.0,-7333.6416,-46.71109299363057,value
p110,0.0,44.746998,16.0,44.746998,2.796687375,value
p109,13.8359995,650.957,181.0,637.1210005,3.5200055276243094,value
p115,0.0,2087.003,329.0,2087.003,6.343474164133739,value
p120,3.307,158.70099,24.0,155.39399,6.474749583333334,value
p114,179.839,1614.9462,181.0,1435.1072000000001,7.928769060773481,value
p111,1848.435,6302.904,480.0,4454.469000000001,9.280143750000002,value
p121,0.0,776.6739,83.0,776.6739,9.35751686746988,value
p116,0.0,413.376,43.0,413.376,9.613395348837209,value
p112,46.225998,4582.075,464.0,4535.849002,9.775536642241379,value
z122,0.0,14894.601,1433.0,14894.601,10.393999302163294,value
p117,4.872,319.95404,28.0,315.08204,11.252930000000001,value
p123,3534.9717,15101.871,989.0,11566.8993,11.69555035389282,value
p100,102.355,2476.6873,159.0,2374.3323,14.932907547169812,value
p118,9798.439,29172.576,749.0,19374.137000000002,25.86667156208278,value
