region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2223.2834,9.0,-1695.8169000000003,-188.42410000000004,value
p124,24353.922,20372.168,30.0,-3981.753999999997,-132.72513333333325,value
p99,932347.2,392136.4,4696.0,-540210.7999999999,-115.03637137989777,value
p113,14831.151,8917.187,116.0,-5913.964,-50.98244827586207,value
p126,12716.168,8891.083,157.0,-3825.084999999999,-24.363598726114645,value
p118,9798.439,7162.396,749.0,-2636.0430000000006,-3.5194165554072105,value
p111,1848.435,1486.547,480.0,-361.8879999999999,-0.7539333333333331,value
p114,179.839,95.436,181.0,-84.40299999999999,-0.4663149171270718,value
p117,4.872,1.918,28.0,-2.9539999999999997,-0.1055,value
p109,13.8359995,1.977,181.0,-11.8589995,-0.06551933425414365,value
p123,3534.9717,3472.2585,989.0,-62.71320000000014,-0.06341071789686567,value
p120,3.307,2.203,24.0,-1.104,-0.046000000000000006,value
p112,46.225998,31.899,464.0,-14.326997999999996,-0.030877150862068957,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.61499995,1433.0,0.61499995,0.00042916953942777385,value
p100,102.355,111.654,159.0,9.298999999999992,0.0584842767295597,value
