region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p64,171396.39,121672.01,1235.0,-49724.38000000002,-40.26265587044536,value
p65,199873.89,150157.22,1660.0,-49716.67000000001,-29.949801204819284,value
p63,421769.88,351200.78,3549.0,-70569.09999999998,-19.884220907297824,value
p67,11330.568,68605.46,2190.0,57274.89200000001,26.15291872146119,value
p62,0.0,3593.5586,133.0,3593.5586,27.01923759398496,value
p60,0.0,1671.9739,57.0,1671.9739,29.332875438596492,value
p61,5.812,4324.572,144.0,4318.76,29.991388888888892,value
