region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,554268.7,3654916600.0,-103.44381022878868,value
p124,24353.922,22404.951,22996172.0,-84.75197524179231,value
p113,14831.151,5966.0044,328775680.0,-26.96411912219298,value
p125,3919.1003,1786.3772,258986860.0,-8.234869780885877,value
p126,12716.168,7584.39,1824293600.0,-2.813021933521719,value
p110,0.0,59.615005,99486340.0,0.5992280688676684,value
p109,13.8359995,817.533,1123909900.0,0.7150902479647906,value
p116,0.0,424.62103,404781700.0,1.0490124286647586,value
p117,4.872,314.21088,262161950.0,1.1799533747749937,value
p111,1848.435,5908.2236,1354601900.0,2.9970345766306115,value
p114,179.839,1750.0393,510494340.0,3.0758427454913035,value
p112,46.225998,4638.9077,1310099300.0,3.505598090040391,value
p120,3.307,187.19601,43246748.0,4.252088735088243,value
p115,0.0,2624.1116,604805100.0,4.338772132087771,value
z122,0.0,14432.152,2634114000.0,5.478939687884008,value
p121,0.0,811.7821,126688130.0,6.407720382449727,value
p123,3534.9717,13428.967,1503455500.0,6.580836864789176,value
p100,102.355,2231.0874,123685440.0,17.21085683165294,value
p118,9798.439,31381.857,583109300.0,37.014360010769295,value
