region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p99,932347.2,708025.8,4696.0,-224321.3999999999,-47.76861158432707,value
p124,24353.922,23168.586,30.0,-1185.3359999999993,-39.51119999999998,value
p125,3919.1003,3686.132,9.0,-232.9683,-25.885366666666666,value
p113,14831.151,13626.633,116.0,-1204.518,-10.383775862068966,value
p126,12716.168,12088.441,157.0,-627.726999999999,-3.9982611464968087,value
p118,9798.439,9176.144,749.0,-622.2950000000001,-0.830834445927904,value
p114,179.839,156.729,181.0,-23.109999999999985,-0.12767955801104963,value
p117,4.872,2.1160002,28.0,-2.7559997999999997,-0.09842856428571427,value
p109,13.8359995,11.064999,181.0,-2.7710004999999995,-0.015309395027624307,value
p112,46.225998,45.192,464.0,-1.0339979999999969,-0.002228443965517235,value
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p120,3.307,3.507,24.0,0.20000000000000018,0.00833333333333334,value
p123,3534.9717,3564.5317,989.0,29.559999999999945,0.029888776541961523,value
p111,1848.435,1867.7439,480.0,19.308899999999994,0.04022687499999999,value
p100,102.355,113.16699,159.0,10.811989999999994,0.0679999371069182,value
