region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,18135.93,22996172.0,-270.3924809746595,value
p99,932347.2,361729.34,3654916600.0,-156.12335962768972,value
p113,14831.151,7894.442,328775680.0,-21.098607415244338,value
p125,3919.1003,1781.384,258986860.0,-8.254149523197439,value
p118,9798.439,6507.5864,583109300.0,-5.643628959916181,value
p126,12716.168,7603.3296,1824293600.0,-2.8026400521908963,value
p111,1848.435,1402.1321,1354601900.0,-0.32947164365910914,value
p114,179.839,87.693,510494340.0,-0.18050347183479817,value
p123,3534.9717,3453.563,1503455500.0,-0.05414772878197772,value
p120,3.307,2.122,43246748.0,-0.027400904225214805,value
p109,13.8359995,0.574,1123909900.0,-0.011799877945374923,value
p112,46.225998,31.177,1310099300.0,-0.011486913761702196,value
p117,4.872,2.37,262161950.0,-0.009543718990923595,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.60599995,2634114000.0,0.00023005835698728256,value
p100,102.355,112.38,123685440.0,0.08105238579415645,value
