region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,661089.8,3654916600.0,-74.2171242447127,value
p124,24353.922,23614.54,22996172.0,-32.15239475509218,value
p113,14831.151,10809.767,328775680.0,-12.231391324321798,value
p125,3919.1003,3391.4438,258986860.0,-2.0373871162824693,value
p126,12716.168,11481.208,1824293600.0,-0.6769524260445365,value
p110,0.0,32.979996,99486340.0,0.33150277039049864,value
p109,13.8359995,501.57,1123909900.0,0.4339618377839203,value
p116,0.0,227.478,404781700.0,0.5619769921612265,value
p117,4.872,159.119,262161950.0,0.5883653170235779,value
p111,1848.435,3961.5442,1354601900.0,1.5599485491920069,value
p114,179.839,1041.2921,510494340.0,1.6874880664689687,value
p112,46.225998,2403.1033,1310099300.0,1.7990065727291178,value
p115,0.0,1583.5591,604805100.0,2.618296452252256,value
p120,3.307,119.54899,43246748.0,2.6878781729437784,value
p123,3534.9717,7737.2466,1503455500.0,2.795077695043806,value
z122,0.0,7383.0312,2634114000.0,2.802851761716887,value
p121,0.0,425.77896,126688130.0,3.3608434090998647,value
p100,102.355,1073.7642,123685440.0,7.853868652607777,value
p118,9798.439,25675.637,583109300.0,27.228510458087143,value
