region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,17378.094,22996172.0,-303.34735711665394,value
p99,932347.2,377389.94,3654916600.0,-151.8385559838196,value
p113,14831.151,4585.0723,328775680.0,-31.16434494181565,value
p125,3919.1003,1480.32,258986860.0,-9.41661774784068,value
p126,12716.168,6288.786,1824293600.0,-3.523216815131655,value
p109,13.8359995,224.09099,1123909900.0,0.18707459801261223,value
p110,0.0,22.459002,99486340.0,0.2257496144998244,value
p116,0.0,293.11298,404781700.0,0.7241260731315282,value
p117,4.872,227.04999,262161950.0,0.847483734024074,value
p114,179.839,1084.078,510494340.0,1.7713007495542517,value
p111,1848.435,4656.411,1354601900.0,2.072916102663305,value
p112,46.225998,3166.2852,1310099300.0,2.381544006104551,value
p115,0.0,1605.3187,604805100.0,2.6542743222808696,value
p120,3.307,121.980995,43246748.0,2.7441137308174013,value
z122,0.0,9491.129,2634114000.0,3.603157960152225,value
p121,0.0,596.83905,126688130.0,4.71108902958926,value
p123,3534.9717,10890.15,1503455500.0,4.8921822818874166,value
p100,102.355,1943.8901,123685440.0,14.88885918989333,value
p118,9798.439,25124.705,583109300.0,26.283692756393506,value
