region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,15298.985,30.0,-9054.936999999998,-301.8312333333333,value
p125,3919.1003,1643.29,9.0,-2275.8103,-252.8678111111111,value
p99,932347.2,306614.66,4696.0,-625732.54,-133.24798551959114,value
p113,14831.151,7973.5015,116.0,-6857.6494999999995,-59.117668103448274,value
p126,12716.168,7658.9663,157.0,-5057.2017,-32.21147579617834,value
p118,9798.439,6551.9844,749.0,-3246.4546,-4.334385313751669,value
p111,1848.435,1390.1201,480.0,-458.31489999999985,-0.954822708333333,value
p114,179.839,88.54101,181.0,-91.29799,-0.5044087845303867,value
p117,4.872,2.645,28.0,-2.227,-0.07953571428571428,value
p109,13.8359995,0.818,181.0,-13.0179995,-0.07192264917127072,value
p123,3534.9717,3476.161,989.0,-58.8107,-0.059464812942366024,value
p120,3.307,2.222,24.0,-1.085,-0.04520833333333333,value
p112,46.225998,30.97,464.0,-15.255997999999998,-0.032879306034482754,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,112.722,159.0,10.36699999999999,0.06520125786163516,value
