region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p64,171396.39,148954.27,1235.0,-22442.120000000024,-18.171757085020264,value
p63,421769.88,410948.9,3549.0,-10820.979999999981,-3.049022259791485,value
p65,199873.89,198344.58,1660.0,-1529.3100000000268,-0.9212710843373655,value
p67,11330.568,19636.645,2190.0,8306.077000000001,3.792729223744293,value
p62,0.0,616.75,133.0,616.75,4.637218045112782,value
p61,5.812,727.62994,144.0,721.81794,5.012624583333333,value
p60,0.0,306.33508,57.0,306.33508,5.374299649122807,value
