region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1486.3436,9.0,-2432.7567,-270.30629999999996,value
p124,24353.922,20214.682,30.0,-4139.239999999998,-137.9746666666666,value
p99,932347.2,407541.7,4696.0,-524805.5,-111.75585604770016,value
p113,14831.151,4387.153,116.0,-10443.998,-90.03446551724137,value
p126,12716.168,6621.1143,157.0,-6095.0536999999995,-38.82199808917197,value
p110,0.0,25.880997,16.0,25.880997,1.6175623125,value
p109,13.8359995,345.89703,181.0,332.06103049999996,1.8345913287292814,value
p115,0.0,1221.659,329.0,1221.659,3.713249240121581,value
p120,3.307,94.12499,24.0,90.81799,3.7840829166666663,value
p114,179.839,955.151,181.0,775.3119999999999,4.283491712707182,value
p111,1848.435,4331.8115,480.0,2483.3765,5.173701041666666,value
p116,0.0,248.90799,43.0,248.90799,5.788557906976744,value
p112,46.225998,2758.1658,464.0,2711.9398020000003,5.8446978491379316,value
p121,0.0,499.89606,83.0,499.89606,6.022844096385542,value
z122,0.0,8808.923,1433.0,8808.923,6.14718981158409,value
p117,4.872,199.16902,28.0,194.29701999999997,6.939179285714284,value
p123,3534.9717,11212.29,989.0,7677.318300000001,7.762708088978767,value
p100,102.355,1875.6223,159.0,1773.2673,11.152624528301887,value
p118,9798.439,28327.496,749.0,18529.057,24.73839385847797,value
