region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2767.857,9.0,-1151.2433,-127.91592222222224,value
p99,932347.2,507836.38,4696.0,-424510.81999999995,-90.39838586030663,value
p124,24353.922,22364.518,30.0,-1989.4039999999986,-66.31346666666663,value
p113,14831.151,9060.627,116.0,-5770.523999999999,-49.74589655172413,value
p126,12716.168,9886.295,157.0,-2829.8729999999996,-18.024668789808914,value
p110,0.0,31.414993,16.0,31.414993,1.9634370625,value
p109,13.8359995,454.55093,181.0,440.7149305,2.4348891187845303,value
p120,3.307,102.108,24.0,98.801,4.116708333333333,value
p111,1848.435,3865.746,480.0,2017.3110000000001,4.20273125,value
p114,179.839,960.9341,181.0,781.0951,4.315442541436464,value
p115,0.0,1448.145,329.0,1448.145,4.401656534954407,value
p123,3534.9717,8144.052,989.0,4609.0803,4.660344084934277,value
p121,0.0,413.26602,83.0,413.26602,4.979108674698796,value
p112,46.225998,2369.5908,464.0,2323.364802,5.007251728448276,value
p116,0.0,216.62595,43.0,216.62595,5.037812790697674,value
p117,4.872,146.998,28.0,142.12599999999998,5.0759285714285705,value
z122,0.0,7388.1494,1433.0,7388.1494,5.155721842288904,value
p100,102.355,1213.3529,159.0,1110.9979,6.9874081761006295,value
p118,9798.439,23204.49,749.0,13406.051000000001,17.898599465954607,value
