region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,3287.3018,9.0,-631.7984999999999,-70.19983333333332,value
p124,24353.922,22982.908,30.0,-1371.0139999999992,-45.70046666666664,value
p113,14831.151,13127.819,116.0,-1703.3320000000003,-14.68389655172414,value
p99,932347.2,877823.2,4696.0,-54524.0,-11.610732538330494,value
p126,12716.168,12313.512,157.0,-402.65599999999904,-2.564687898089166,value
p118,9798.439,8791.125,749.0,-1007.3140000000003,-1.3448785046728977,value
p114,179.839,115.70801,181.0,-64.13099,-0.354314861878453,value
p117,4.872,2.317,28.0,-2.5549999999999997,-0.09124999999999998,value
p109,13.8359995,4.109,181.0,-9.7269995,-0.053740328729281764,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p120,3.307,3.6610003,24.0,0.35400030000000005,0.014750012500000001,value
p112,46.225998,53.757,464.0,7.531002000000001,0.01623060775862069,value
p100,102.355,110.688995,159.0,8.333995000000002,0.052415062893081774,value
p123,3534.9717,3648.015,989.0,113.04329999999982,0.1143006066734073,value
p111,1848.435,1922.6312,480.0,74.19620000000009,0.15457541666666685,value
