region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,17939.875,22996172.0,-278.9180303574003,value
p99,932347.2,338777.8,3654916600.0,-162.40299401107427,value
p113,14831.151,8823.577,328775680.0,-18.27256200945277,value
p125,3919.1003,2040.3059,258986860.0,-7.254400362174353,value
p118,9798.439,7171.8936,583109300.0,-4.504379103450161,value
p126,12716.168,8724.932,1824293600.0,-2.1878254300676083,value
p111,1848.435,1482.764,1354601900.0,-0.26994721613610434,value
p114,179.839,97.461,510494340.0,-0.16136907736425896,value
p123,3534.9717,3489.954,1503455500.0,-0.029942821958690323,value
p120,3.307,2.216,43246748.0,-0.025227330387940377,value
p112,46.225998,31.205,1310099300.0,-0.01146554133641995,value
p109,13.8359995,1.977,1123909900.0,-0.010551557225911692,value
p117,4.872,2.201,262161950.0,-0.010188358682956405,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,112.69501,123685440.0,0.08359924983894622,value
