region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,19916.365,22996172.0,-192.9693776859904,value
p99,932347.2,403994.38,3654916600.0,-144.55947335255863,value
p113,14831.151,9772.514,328775680.0,-15.386287087901396,value
p125,3919.1003,2472.1104,258986860.0,-5.587116958951246,value
p118,9798.439,7768.97,583109300.0,-3.480426325278784,value
p126,12716.168,9788.063,1824293600.0,-1.6050623368069727,value
p111,1848.435,1602.786,1354601900.0,-0.18134405981501908,value
p114,179.839,109.69999,510494340.0,-0.13739429618274943,value
p123,3534.9717,3462.4255,1503455500.0,-0.04825297494939885,value
p120,3.307,2.5650003,43246748.0,-0.0171573525019731,value
p117,4.872,2.4169998,262161950.0,-0.009364441259576826,value
p112,46.225998,34.454,1310099300.0,-0.008985576702776537,value
p109,13.8359995,3.917,1123909900.0,-0.008825440194009574,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,112.243,123685440.0,0.07994473723018644,value
