region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,3105.9604,9.0,-813.1399000000001,-90.34887777777779,value
p99,932347.2,590518.56,4696.0,-341828.6399999999,-72.79144804088584,value
p124,24353.922,22928.295,30.0,-1425.6270000000004,-47.52090000000001,value
p113,14831.151,11055.744,116.0,-3775.4069999999992,-32.54661206896551,value
p126,12716.168,11336.89,157.0,-1379.2780000000002,-8.785210191082804,value
p118,9798.439,8564.5205,749.0,-1233.9184999999998,-1.6474212283044056,value
p111,1848.435,1689.353,480.0,-159.08199999999988,-0.3314208333333331,value
p114,179.839,133.09401,181.0,-46.74499,-0.2582596132596685,value
p117,4.872,2.088,28.0,-2.784,-0.09942857142857142,value
p123,3534.9717,3479.1172,989.0,-55.854499999999916,-0.05647573306370062,value
p109,13.8359995,7.538,181.0,-6.2979994999999995,-0.0347955773480663,value
p112,46.225998,34.631,464.0,-11.594997999999997,-0.0249892198275862,value
p120,3.307,2.851,24.0,-0.45599999999999996,-0.019,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,111.272,159.0,8.917000000000002,0.05608176100628932,value
