region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p99,932347.2,818005.7,4696.0,-114341.5,-24.348701022146507,value
p124,24353.922,23857.12,30.0,-496.8019999999997,-16.560066666666657,value
p113,14831.151,13086.568,116.0,-1744.5830000000005,-15.03950862068966,value
p125,3919.1003,3851.0037,9.0,-68.09659999999985,-7.566288888888873,value
p126,12716.168,12648.431,157.0,-67.73699999999917,-0.4314458598726062,value
p110,0.0,8.862002,16.0,8.862002,0.553875125,value
p109,13.8359995,117.70799,181.0,103.8719905,0.5738784005524862,value
p123,3534.9717,4169.5537,989.0,634.5820000000003,0.6416400404448942,value
p117,4.872,25.356,28.0,20.484,0.7315714285714287,value
p120,3.307,24.665998,24.0,21.358998,0.88995825,value
p116,0.0,44.298,43.0,44.298,1.030186046511628,value
p115,0.0,347.54993,329.0,347.54993,1.056382765957447,value
p121,0.0,88.429,83.0,88.429,1.0654096385542169,value
p112,46.225998,555.4889,464.0,509.26290199999994,1.0975493577586206,value
z122,0.0,1630.6752,1433.0,1630.6752,1.1379450104675506,value
p114,179.839,390.187,181.0,210.348,1.16214364640884,value
p111,1848.435,2432.2039,480.0,583.7689,1.2161852083333333,value
p100,102.355,323.41306,159.0,221.05805999999995,1.390302264150943,value
p118,9798.439,13591.332,749.0,3792.893,5.063942590120161,value
