region,per_mw,delta_eue,category
p64,-93.55528680942152,-115540.77920963557,value
p65,-82.97611627197868,-137740.3530114846,value
p63,-69.33186351642159,-246058.7836197802,value
p67,-4.831789497438338,-10581.61899938996,value
p61,-0.04036111111111111,-5.812,value
p60,0.0,0.0,no_eue
p62,0.0,0.0,no_eue
