region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p64,171396.39,149866.16,1235.0,-21530.23000000001,-17.433384615384625,value
p63,421769.88,406958.75,3549.0,-14811.130000000005,-4.173324880247958,value
p65,199873.89,195354.61,1660.0,-4519.280000000028,-2.722457831325318,value
p67,11330.568,18860.55,2190.0,7529.982,3.4383479452054795,value
p62,0.0,574.44824,133.0,574.44824,4.319159699248121,value
p61,5.812,714.04895,144.0,708.23695,4.918312152777777,value
p60,0.0,300.00705,57.0,300.00705,5.263281578947368,value
