region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2472.1104,9.0,-1446.9899,-160.77665555555555,value
p124,24353.922,19916.365,30.0,-4437.556999999997,-147.91856666666658,value
p99,932347.2,403994.38,4696.0,-528352.82,-112.5112478705281,value
p113,14831.151,9772.514,116.0,-5058.637000000001,-43.60893965517242,value
p126,12716.168,9788.063,157.0,-2928.1049999999996,-18.650350318471336,value
p118,9798.439,7768.97,749.0,-2029.469,-2.7095714285714285,value
p111,1848.435,1602.786,480.0,-245.6489999999999,-0.5117687499999998,value
p114,179.839,109.69999,181.0,-70.13901,-0.38750834254143646,value
p117,4.872,2.4169998,28.0,-2.4550001999999997,-0.08767857857142856,value
p123,3534.9717,3462.4255,989.0,-72.54620000000023,-0.07335308392315493,value
p109,13.8359995,3.917,181.0,-9.9189995,-0.05480110220994475,value
p120,3.307,2.5650003,24.0,-0.7419997,-0.03091665416666667,value
p112,46.225998,34.454,464.0,-11.771997999999996,-0.02537068534482758,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.604,1433.0,0.604,0.000421493370551291,value
p100,102.355,112.243,159.0,9.887999999999991,0.062188679245282964,value
