region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1482.0728,9.0,-2437.0275,-270.78083333333336,value
p113,14831.151,5123.1436,116.0,-9708.007399999999,-83.68971896551723,value
p99,932347.2,551919.7,4696.0,-380427.5,-81.0109667802385,value
p124,24353.922,22158.678,30.0,-2195.243999999999,-73.17479999999996,value
p126,12716.168,6747.4414,157.0,-5968.7266,-38.017366878980894,value
p110,0.0,55.121,16.0,55.121,3.4450625,value
p109,13.8359995,799.30804,181.0,785.4720405,4.339624533149172,value
p115,0.0,2540.404,329.0,2540.404,7.721592705167173,value
p120,3.307,188.949,24.0,185.64200000000002,7.735083333333335,value
p114,179.839,1765.459,181.0,1585.6200000000001,8.760331491712709,value
p111,1848.435,6136.7285,480.0,4288.2935,8.933944791666667,value
p121,0.0,824.55707,83.0,824.55707,9.93442253012048,value
p116,0.0,434.33197,43.0,434.33197,10.100743488372093,value
p112,46.225998,4798.5254,464.0,4752.299402000001,10.242024573275863,value
z122,0.0,14948.335,1433.0,14948.335,10.431496859734821,value
p123,3534.9717,14236.653,989.0,10701.6813,10.820709100101112,value
p117,4.872,331.19894,28.0,326.32694,11.654533571428571,value
p100,102.355,2348.2996,159.0,2245.9446,14.125437735849056,value
p118,9798.439,30884.219,749.0,21085.78,28.15190921228304,value
