region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,838174.0,3654916600.0,-25.76616927288316,value
p124,24353.922,24076.64,22996172.0,-12.057745958762146,value
p113,14831.151,12998.185,328775680.0,-5.575126481374779,value
p117,4.872,30.668,262161950.0,0.09839719228212032,value
p109,13.8359995,156.15698,1123909900.0,0.12663024146291701,value
p110,0.0,12.862998,99486340.0,0.12929411733486698,value
p116,0.0,56.228,404781700.0,0.138909443177984,value
p125,3919.1003,3955.4375,258986860.0,0.14030518551705365,value
p126,12716.168,13110.414,1824293600.0,0.2161088506173117,value
p112,46.225998,695.25397,1310099300.0,0.49540363705918944,value
p114,179.839,447.02603,510494340.0,0.5233888236519043,value
p123,3534.9717,4397.615,1503455500.0,0.5737737544511858,value
p120,3.307,30.537998,43246748.0,0.6296657959114059,value
p111,1848.435,2732.5837,1354601900.0,0.6527000506339187,value
p115,0.0,444.317,604805100.0,0.7346449051224964,value
z122,0.0,2072.34,2634114000.0,0.7867313116428891,value
p121,0.0,112.15898,126688130.0,0.8853156311536942,value
p100,102.355,374.39102,123685440.0,2.1994182985483173,value
p118,9798.439,16414.545,583109300.0,11.34625337624517,value
