region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,3172.0906,9.0,-747.0097000000001,-83.00107777777778,value
p124,24353.922,22156.098,30.0,-2197.823999999997,-73.26079999999989,value
p113,14831.151,12750.768,116.0,-2080.383,-17.93433620689655,value
p99,932347.2,855659.5,4696.0,-76687.69999999995,-16.330430153321966,value
p126,12716.168,11884.525,157.0,-831.643,-5.297089171974522,value
p118,9798.439,8686.416,749.0,-1112.023000000001,-1.484676902536717,value
p114,179.839,114.654015,181.0,-65.184985,-0.36013803867403316,value
p117,4.872,2.874,28.0,-1.9979999999999998,-0.07135714285714286,value
p109,13.8359995,4.506,181.0,-9.3299995,-0.05154695856353591,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,1.0619999,1433.0,1.0619999,0.0007411025122121424,value
p112,46.225998,53.753998,464.0,7.528000000000006,0.016224137931034496,value
p120,3.307,3.7989998,24.0,0.4919997999999999,0.02049999166666666,value
p100,102.355,110.96,159.0,8.60499999999999,0.054119496855345846,value
p111,1848.435,1915.6431,480.0,67.20810000000006,0.14001687500000012,value
p123,3534.9717,3681.1028,989.0,146.13110000000006,0.14775642062689592,value
