region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2342.9104,9.0,-1576.1898999999999,-175.1322111111111,value
p124,24353.922,20081.97,30.0,-4271.9519999999975,-142.39839999999992,value
p99,932347.2,438689.44,4696.0,-493657.75999999995,-105.12303236797273,value
p113,14831.151,7930.1343,116.0,-6901.0167,-59.49152327586207,value
p126,12716.168,8708.943,157.0,-4007.2250000000004,-25.523726114649683,value
p110,0.0,22.259998,16.0,22.259998,1.391249875,value
p109,13.8359995,302.879,181.0,289.0430005,1.5969226546961326,value
p120,3.307,114.97301,24.0,111.66601,4.652750416666667,value
p115,0.0,1559.8561,329.0,1559.8561,4.7412039513677815,value
p114,179.839,1063.8209,181.0,883.9819,4.883877900552486,value
p111,1848.435,4420.903,480.0,2572.4680000000003,5.359308333333334,value
p121,0.0,482.955,83.0,482.955,5.818734939759036,value
z122,0.0,8347.942,1433.0,8347.942,5.825500348918353,value
p116,0.0,251.21498,43.0,251.21498,5.842208837209302,value
p123,3534.9717,9414.402,989.0,5879.4303,5.944823356926188,value
p112,46.225998,2847.424,464.0,2801.198002,6.037064659482759,value
p117,4.872,185.74498,28.0,180.87297999999998,6.4597492857142855,value
p100,102.355,1498.333,159.0,1395.978,8.779735849056603,value
p118,9798.439,22657.338,749.0,12858.899,17.16808945260347,value
