region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,20360.426,30.0,-3993.495999999999,-133.1165333333333,value
p125,3919.1003,2993.0618,9.0,-926.0385000000001,-102.89316666666667,value
p113,14831.151,12360.666,116.0,-2470.4850000000006,-21.297284482758627,value
p99,932347.2,837971.2,4696.0,-94376.0,-20.097103918228278,value
p126,12716.168,11134.545,157.0,-1581.6229999999996,-10.074031847133755,value
p118,9798.439,8546.698,749.0,-1251.741,-1.6712162883845127,value
p114,179.839,109.31402,181.0,-70.52498,-0.389640773480663,value
p117,4.872,2.362,28.0,-2.51,-0.08964285714285714,value
p109,13.8359995,2.929,181.0,-10.9069995,-0.06025966574585635,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.616,1433.0,0.616,0.00042986741102581994,value
p112,46.225998,53.992,464.0,7.766002,0.01673707327586207,value
p120,3.307,3.724,24.0,0.41700000000000026,0.017375000000000012,value
p100,102.355,109.190994,159.0,6.8359939999999995,0.04299367295597484,value
p111,1848.435,1903.0712,480.0,54.636200000000144,0.11382541666666697,value
p123,3534.9717,3678.7961,989.0,143.82439999999997,0.1454240647118301,value
