region,date,duration_h,total_eue_mwh,peak_eue_mwh,peak_total_mismatch
p63,2011-02-02,17,90635.262,8840.874,True
p65,2007-01-16,28,43652.560000000005,5643.307,True
p64,2007-01-16,27,33147.078,4426.69,True
p67,2011-02-02,16,3567.8240000000005,980.549,True
p61,2007-01-17,3,4.378,2.169,False
