region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,22563.873,22996172.0,-77.84117286998892,value
p99,932347.2,865285.06,3654916600.0,-18.348473355920657,value
p113,14831.151,12906.099,328775680.0,-5.855214108294141,value
p125,3919.1003,3244.21,258986860.0,-2.605886219773679,value
p118,9798.439,8757.296,583109300.0,-1.785502269598466,value
p126,12716.168,12059.086,1824293600.0,-0.3601843412014938,value
p114,179.839,118.96999,510494340.0,-0.1192354267374281,value
p109,13.8359995,4.3859997,1123909900.0,-0.008408147219717317,value
p117,4.872,2.704,262161950.0,-0.008269697351048102,value
p116,0.0,0.0,404781700.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p115,0.0,0.0,604805100.0,0.0,no_eue
z122,0.0,1.222,2634114000.0,0.0004639130947757658,value
p112,46.225998,53.751,1310099300.0,0.005743840821205277,value
p120,3.307,3.8060002,43246748.0,0.011538444462922397,value
p111,1848.435,1932.151,1354601900.0,0.061801185070870096,value
p100,102.355,111.303,123685440.0,0.07234481277666953,value
p123,3534.9717,3671.35,1503455500.0,0.09070990201473783,value
