region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,1210.146,9.0,-2708.9543000000003,-300.99492222222227,value
p124,24353.922,19756.16,30.0,-4597.761999999999,-153.25873333333328,value
p99,932347.2,404495.6,4696.0,-527851.6,-112.40451448040885,value
p113,14831.151,3559.3433,116.0,-11271.8077,-97.17075603448275,value
p126,12716.168,5827.362,157.0,-6888.806,-43.87774522292993,value
p110,0.0,23.970995,16.0,23.970995,1.4981871875,value
p109,13.8359995,290.74005,181.0,276.9040505,1.529856632596685,value
p115,0.0,1144.525,329.0,1144.525,3.478799392097265,value
p120,3.307,88.195984,24.0,84.888984,3.537041,value
p114,179.839,883.49,181.0,703.6510000000001,3.8875745856353596,value
p111,1848.435,4133.827,480.0,2285.3920000000003,4.761233333333334,value
p112,46.225998,2676.343,464.0,2630.117002,5.66835560775862,value
p116,0.0,251.31801,43.0,251.31801,5.84460488372093,value
z122,0.0,8714.688,1433.0,8714.688,6.08142916957432,value
p121,0.0,522.37,83.0,522.37,6.293614457831326,value
p117,4.872,194.112,28.0,189.24,6.758571428571429,value
p123,3534.9717,11165.384,989.0,7630.4123,7.715280384226491,value
p100,102.355,1911.5923,159.0,1809.2373,11.378850943396227,value
p118,9798.439,28277.035,749.0,18478.595999999998,24.671022696929235,value
