region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p99,932347.2,717776.4,4696.0,-214570.79999999993,-45.69224872231685,value
p124,24353.922,23194.135,30.0,-1159.7870000000003,-38.65956666666668,value
p125,3919.1003,3683.0144,9.0,-236.08590000000004,-26.231766666666672,value
p113,14831.151,12399.386,116.0,-2431.7649999999994,-20.96349137931034,value
p126,12716.168,11888.909,157.0,-827.259,-5.269165605095542,value
p110,0.0,13.830001,16.0,13.830001,0.8643750625,value
p109,13.8359995,173.83199,181.0,159.9959905,0.8839557486187846,value
p120,3.307,42.251995,24.0,38.944995,1.622708125,value
p123,3534.9717,5317.63,989.0,1782.6583,1.8024856420626896,value
p111,1848.435,2762.4841,480.0,914.0491000000002,1.9042689583333337,value
p116,0.0,86.797,43.0,86.797,2.01853488372093,value
p121,0.0,172.41602,83.0,172.41602,2.0773014457831325,value
p114,179.839,556.682,181.0,376.843,2.0820055248618785,value
p115,0.0,686.433,329.0,686.433,2.0864224924012156,value
p112,46.225998,1040.0801,464.0,993.8541019999999,2.141926943965517,value
z122,0.0,3122.233,1433.0,3122.233,2.1788087927424984,value
p117,4.872,69.049995,28.0,64.177995,2.29207125,value
p100,102.355,521.70197,159.0,419.34696999999994,2.637402327044025,value
p118,9798.439,14831.95,749.0,5033.511,6.720308411214954,value
