region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,21763.719,30.0,-2590.2029999999977,-86.34009999999992,value
p125,3919.1003,3230.834,9.0,-688.2663000000002,-76.47403333333335,value
p113,14831.151,12639.971,116.0,-2191.1800000000003,-18.88948275862069,value
p99,932347.2,848338.8,4696.0,-84008.3999999999,-17.889352640545123,value
p126,12716.168,11701.244,157.0,-1014.9239999999991,-6.4644840764331155,value
p118,9798.439,8647.264,749.0,-1151.175000000001,-1.536949265687585,value
p114,179.839,113.66701,181.0,-66.17199,-0.3655911049723757,value
p117,4.872,2.765,28.0,-2.1069999999999998,-0.07525,value
p109,13.8359995,4.48,181.0,-9.3559995,-0.05169060497237569,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.852,1433.0,0.852,0.0005945568736915562,value
p112,46.225998,54.118,464.0,7.892002000000005,0.01700862500000001,value
p120,3.307,3.8059998,24.0,0.4989998,0.020791658333333334,value
p100,102.355,111.154,159.0,8.798999999999992,0.055339622641509385,value
p111,1848.435,1910.4078,480.0,61.97280000000001,0.12911,value
p123,3534.9717,3674.772,989.0,139.80029999999988,0.14135520728008077,value
