region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,14517.0205,22996172.0,-427.7625641345872,value
p99,932347.2,303339.88,3654916600.0,-172.09895257889286,value
p113,14831.151,7790.543,328775680.0,-21.414625315351792,value
p125,3919.1003,1588.108,258986860.0,-9.000426755234969,value
p118,9798.439,6418.982,583109300.0,-5.79558057203518,value
p126,12716.168,7447.5454,1824293600.0,-2.8880343095995635,value
p111,1848.435,1381.743,1354601900.0,-0.34452337263001653,value
p114,179.839,88.051,510494340.0,-0.17980219079257326,value
p123,3534.9717,3469.3835,1503455500.0,-0.04362496962730176,value
p120,3.307,2.14,43246748.0,-0.026984687958502677,value
p109,13.8359995,0.574,1123909900.0,-0.011799877945374923,value
p112,46.225998,30.958,1310099300.0,-0.011654076659445472,value
p117,4.872,2.354,262161950.0,-0.009604749967684097,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,113.22299,123685440.0,0.08786798187401841,value
