region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2461.7166,9.0,-1457.3836999999999,-161.9315222222222,value
p99,932347.2,575759.3,4696.0,-356587.8999999999,-75.93439097103916,value
p113,14831.151,8076.02,116.0,-6755.130999999999,-58.23388793103448,value
p124,24353.922,22976.861,30.0,-1377.0609999999979,-45.902033333333264,value
p126,12716.168,9411.348,157.0,-3304.8199999999997,-21.04980891719745,value
p110,0.0,49.545,16.0,49.545,3.0965625,value
p109,13.8359995,746.7831,181.0,732.9471005,4.049431494475138,value
p111,1848.435,5204.0044,480.0,3355.5694,6.990769583333333,value
p115,0.0,2428.7742,329.0,2428.7742,7.382292401215805,value
p114,179.839,1532.4829,181.0,1352.6439,7.473170718232044,value
p120,3.307,183.76099,24.0,180.45399,7.51891625,value
p123,3534.9717,11155.111,989.0,7620.139300000001,7.704893124368049,value
p121,0.0,673.759,83.0,673.759,8.117578313253013,value
p116,0.0,351.327,43.0,351.327,8.170395348837209,value
p112,46.225998,3945.1812,464.0,3898.955202,8.402920693965518,value
z122,0.0,12102.036,1433.0,12102.036,8.44524494068388,value
p117,4.872,247.22096,28.0,242.34895999999998,8.65532,value
p100,102.355,1800.5424,159.0,1698.1874,10.68042389937107,value
p118,9798.439,30766.848,749.0,20968.409,27.995205607476635,value
