region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,17015.453,22996172.0,-319.11698173069834,value
p99,932347.2,322754.62,3654916600.0,-166.7870010127465,value
p113,14831.151,8520.503,328775680.0,-19.194388100725696,value
p125,3919.1003,1877.003,258986860.0,-7.884945469666756,value
p118,9798.439,6910.3706,583109300.0,-4.952876485704279,value
p126,12716.168,8273.318,1824293600.0,-2.435380972705166,value
p111,1848.435,1446.199,1354601900.0,-0.29694038747869533,value
p114,179.839,91.847,510494340.0,-0.1723662610822777,value
p123,3534.9717,3485.2114,1503455500.0,-0.03309728847788802,value
p120,3.307,2.1879997,43246748.0,-0.025874784850874796,value
p109,13.8359995,1.323,1123909900.0,-0.011133454410893126,value
p112,46.225998,32.092,1310099300.0,-0.01078849343551453,value
p117,4.872,2.642,262161950.0,-0.008506192385995051,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,112.147,123685440.0,0.07916857473280607,value
