region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,704.624,9.0,-3214.4763000000003,-357.16403333333335,value
p124,24353.922,15124.411,30.0,-9229.510999999999,-307.6503666666666,value
p99,932347.2,365271.6,4696.0,-567075.6,-120.75715502555366,value
p113,14831.151,2509.7737,116.0,-12321.3773,-106.21876982758621,value
p126,12716.168,4207.7593,157.0,-8508.4087,-54.19368598726115,value
p109,13.8359995,174.862,181.0,161.0260005,0.88964641160221,value
p110,0.0,20.297,16.0,20.297,1.2685625,value
p114,179.839,889.26105,181.0,709.4220499999999,3.919458839779005,value
p120,3.307,99.665,24.0,96.358,4.014916666666667,value
p115,0.0,1347.7211,329.0,1347.7211,4.096416717325228,value
p111,1848.435,3836.126,480.0,1987.6910000000003,4.141022916666667,value
p112,46.225998,2940.915,464.0,2894.689002,6.23855388362069,value
p123,3534.9717,10374.037,989.0,6839.0653,6.915131749241659,value
p116,0.0,309.17798,43.0,309.17798,7.190185581395348,value
z122,0.0,10784.81,1433.0,10784.81,7.526036287508723,value
p117,4.872,217.37401,28.0,212.50200999999998,7.589357499999999,value
p121,0.0,646.692,83.0,646.692,7.791469879518073,value
p100,102.355,2007.7604,159.0,1905.4053999999999,11.983681761006288,value
p118,9798.439,24376.29,749.0,14577.851,19.46308544726302,value
