region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2067.6062,9.0,-1851.4941,-205.72156666666666,value
p124,24353.922,19781.201,30.0,-4572.720999999998,-152.42403333333326,value
p99,932347.2,378453.0,4696.0,-553894.2,-117.95021294718909,value
p113,14831.151,8606.301,116.0,-6224.85,-53.6625,value
p126,12716.168,8443.393,157.0,-4272.775,-27.21512738853503,value
p118,9798.439,7052.253,749.0,-2746.1860000000006,-3.666469959946596,value
p111,1848.435,1462.988,480.0,-385.4469999999999,-0.8030145833333331,value
p114,179.839,92.310005,181.0,-87.528995,-0.4835856077348066,value
p117,4.872,2.524,28.0,-2.348,-0.08385714285714285,value
p123,3534.9717,3456.46,989.0,-78.51170000000002,-0.07938493427704754,value
p109,13.8359995,1.323,181.0,-12.5129995,-0.06913259392265193,value
p120,3.307,2.169,24.0,-1.138,-0.04741666666666666,value
p112,46.225998,32.382,464.0,-13.843998,-0.029836202586206895,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.613,1433.0,0.613,0.0004277739009071877,value
p100,102.355,112.54399,159.0,10.18898999999999,0.06408169811320748,value
