region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,551919.7,3654916600.0,-104.08650615100436,value
p124,24353.922,22158.678,22996172.0,-95.4612793816292,value
p113,14831.151,5123.1436,328775680.0,-29.52775399932257,value
p125,3919.1003,1482.0728,258986860.0,-9.409849837017216,value
p126,12716.168,6747.4414,1824293600.0,-3.2718014771867603,value
p110,0.0,55.121,99486340.0,0.5540559861406495,value
p109,13.8359995,799.30804,1123909900.0,0.6988745707164736,value
p116,0.0,434.33197,404781700.0,1.0730029897399314,value
p117,4.872,331.19894,262161950.0,1.2447532432166206,value
p114,179.839,1765.459,510494340.0,3.1060481736667103,value
p111,1848.435,6136.7285,1354601900.0,3.1657224453116357,value
p112,46.225998,4798.5254,1310099300.0,3.6274344245751733,value
p115,0.0,2540.404,604805100.0,4.200367880483552,value
p120,3.307,188.949,43246748.0,4.292623343609559,value
z122,0.0,14948.335,2634114000.0,5.674900451386986,value
p121,0.0,824.55707,126688130.0,6.508558323633924,value
p123,3534.9717,14236.653,1503455500.0,7.118056627161017,value
p100,102.355,2348.2996,123685440.0,18.158520517855617,value
p118,9798.439,30884.219,583109300.0,36.16093855143236,value
