region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p125,3919.1003,2635.4263,9.0,-1283.674,-142.63044444444444,value
p99,932347.2,448783.53,4696.0,-483563.6699999999,-102.97352427597954,value
p124,24353.922,21616.3,30.0,-2737.6219999999994,-91.25406666666665,value
p113,14831.151,9809.633,116.0,-5021.518,-43.28894827586207,value
p126,12716.168,9936.777,157.0,-2779.3909999999996,-17.70312738853503,value
p118,9798.439,7743.785,749.0,-2054.6540000000005,-2.7431962616822436,value
p111,1848.435,1618.585,480.0,-229.8499999999999,-0.47885416666666647,value
p114,179.839,107.83,181.0,-72.009,-0.39783977900552486,value
p117,4.872,2.401,28.0,-2.471,-0.08825000000000001,value
p123,3534.9717,3455.9998,989.0,-78.9719,-0.07985025278058645,value
p109,13.8359995,3.917,181.0,-9.9189995,-0.05480110220994475,value
p120,3.307,2.5530002,24.0,-0.7539997999999999,-0.031416658333333326,value
p112,46.225998,35.17,464.0,-11.055997999999995,-0.023827581896551715,value
p115,0.0,0.0,329.0,0.0,0.0,no_eue
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
z122,0.0,0.645,1433.0,0.645,0.0004501046755059316,value
p100,102.355,109.668,159.0,7.313000000000002,0.04599371069182392,value
