region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,708025.8,3654916600.0,-61.37524437876311,value
p124,24353.922,23168.586,22996172.0,-51.54492669475595,value
p113,14831.151,13626.633,328775680.0,-3.6636468974834147,value
p118,9798.439,9176.144,583109300.0,-1.0672012728892935,value
p125,3919.1003,3686.132,258986860.0,-0.899537128647575,value
p126,12716.168,12088.441,1824293600.0,-0.3440931815958885,value
p114,179.839,156.729,510494340.0,-0.045269846049770836,value
p117,4.872,2.1160002,262161950.0,-0.010512584984109364,value
p109,13.8359995,11.064999,1123909900.0,-0.0024655005971439587,value
p112,46.225998,45.192,1310099300.0,-0.0007892516070353994,value
p121,0.0,0.0,126688130.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p115,0.0,0.0,604805100.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p120,3.307,3.507,43246748.0,0.004624625185690266,value
p111,1848.435,1867.7439,1354601900.0,0.01425429908756894,value
p123,3534.9717,3564.5317,1503455500.0,0.019661373573036534,value
p100,102.355,113.16699,123685440.0,0.08741522041721317,value
