system,case_id,case_family,dr_mode,dr_fraction,dr_avail_hours_et,always_on,eue_total_mwh,eue_in_window_mwh,eue_in_window_frac,dr_energy_mwh,dr_shortfall_mwh
pjm,baseline,baseline,,0.0,,True,112.723,112.723,1.0,0.0,0.0
pjm,baseline_with_load_added,baseline_with_load_added,,0.0,,True,2565.465,2565.465,1.0,0.0,0.0
pjm,shed_16h_all_0.05,shed_16h_all,shed,0.05,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2502.724,1345.775,0.5377240958251889,87.608,0.0
pjm,shed_16h_all_0.10,shed_16h_all,shed,0.1,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2459.4,1302.451,0.5295807920631048,130.93200000000002,0.0
pjm,shed_16h_all_0.20,shed_16h_all,shed,0.2,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2337.741,1180.7920000000001,0.5050995811768713,252.593,0.0
pjm,shed_16h_all_0.30,shed_16h_all,shed,0.3,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2222.531,1065.5819999999999,0.4794452810781941,367.803,0.0
pjm,shed_16h_all_0.40,shed_16h_all,shed,0.4,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2112.926,955.9769999999999,0.45244225306518066,477.408,0.0
pjm,shed_16h_all_0.50,shed_16h_all,shed,0.5,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,2008.4940000000001,851.545,0.42397189137732044,581.8399999999999,0.0
pjm,shed_16h_all_0.60,shed_16h_all,shed,0.6,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,1909.352,752.403,0.3940619644780009,680.982,0.0
pjm,shed_16h_all_0.70,shed_16h_all,shed,0.7,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,1815.9800000000002,659.031,0.3629065298075969,774.3539999999999,0.0
pjm,shed_16h_all_0.80,shed_16h_all,shed,0.8,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,1728.52,571.571,0.3306707472288432,861.8140000000001,0.0
pjm,shed_16h_all_0.90,shed_16h_all,shed,0.9,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,1647.6760000000002,490.72700000000003,0.2978297917794518,942.6579999999999,0.0
pjm,shed_16h_all_1.00,shed_16h_all,shed,1.0,"[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",False,1573.5379999999998,416.589,0.26474670456004246,1016.7959999999999,0.0
pjm,shed_4h_all_0.05,shed_4h_all,shed,0.05,"[16,17,18,19]",False,2556.545,548.642,0.21460291135106171,33.787,0.0
pjm,shed_4h_all_0.10,shed_4h_all,shed,0.1,"[16,17,18,19]",False,2539.892,531.989,0.20945339408132316,50.440000000000005,0.0
pjm,shed_4h_all_0.20,shed_4h_all,shed,0.2,"[16,17,18,19]",False,2491.1620000000003,483.259,0.19398939129610998,99.16999999999999,0.0
pjm,shed_4h_all_0.30,shed_4h_all,shed,0.3,"[16,17,18,19]",False,2444.542,436.639,0.17861791697585888,145.79000000000002,0.0
pjm,shed_4h_all_0.40,shed_4h_all,shed,0.4,"[16,17,18,19]",False,2400.069,392.166,0.1633978023131835,190.263,0.0
pjm,shed_4h_all_0.50,shed_4h_all,shed,0.5,"[16,17,18,19]",False,2357.7870000000003,349.88399999999996,0.1483950840343084,232.545,0.0
pjm,shed_4h_all_0.60,shed_4h_all,shed,0.6,"[16,17,18,19]",False,2317.585,309.682,0.13362271502447592,272.747,0.0
pjm,shed_4h_all_0.70,shed_4h_all,shed,0.7,"[16,17,18,19]",False,2279.26,271.35699999999997,0.11905486868545051,311.072,0.0
pjm,shed_4h_all_0.80,shed_4h_all,shed,0.8,"[16,17,18,19]",False,2243.053,235.14999999999998,0.10483479436286168,347.279,0.0
pjm,shed_4h_all_0.90,shed_4h_all,shed,0.9,"[16,17,18,19]",False,2209.5209999999997,201.618,0.09124964189070844,380.81100000000004,0.0
pjm,shed_4h_all_1.00,shed_4h_all,shed,1.0,"[16,17,18,19]",False,2178.652,170.749,0.07837369162215901,411.68000000000006,0.0
pjm,shed_8h_all_0.05,shed_8h_all,shed,0.05,"[12,13,14,15,16,17,18,19]",False,2536.761,891.39,0.3513890350726773,53.571,0.0
pjm,shed_8h_all_0.10,shed_8h_all,shed,0.1,"[12,13,14,15,16,17,18,19]",False,2510.1130000000003,864.742,0.344503215592286,80.219,0.0
pjm,shed_8h_all_0.20,shed_8h_all,shed,0.2,"[12,13,14,15,16,17,18,19]",False,2436.702,791.331,0.32475493515415504,153.632,0.0
pjm,shed_8h_all_0.30,shed_8h_all,shed,0.3,"[12,13,14,15,16,17,18,19]",False,2367.279,721.908,0.3049526481669461,223.055,0.0
pjm,shed_8h_all_0.40,shed_8h_all,shed,0.4,"[12,13,14,15,16,17,18,19]",False,2301.479,656.108,0.2850810283300434,288.855,0.0
pjm,shed_8h_all_0.50,shed_8h_all,shed,0.5,"[12,13,14,15,16,17,18,19]",False,2238.641,593.27,0.2650134612919177,351.693,0.0
pjm,shed_8h_all_0.60,shed_8h_all,shed,0.6,"[12,13,14,15,16,17,18,19]",False,2178.473,533.1020000000001,0.24471361361834648,411.86100000000005,0.0
pjm,shed_8h_all_0.70,shed_8h_all,shed,0.7,"[12,13,14,15,16,17,18,19]",False,2120.766,475.395,0.22416193017051383,469.568,0.0
pjm,shed_8h_all_0.80,shed_8h_all,shed,0.8,"[12,13,14,15,16,17,18,19]",False,2065.9579999999996,420.587,0.20357964682728305,524.376,0.0
pjm,shed_8h_all_0.90,shed_8h_all,shed,0.9,"[12,13,14,15,16,17,18,19]",False,2014.655,369.284,0.18329887747529974,575.6790000000001,0.0
pjm,shed_8h_all_1.00,shed_8h_all,shed,1.0,"[12,13,14,15,16,17,18,19]",False,1966.902,321.53099999999995,0.1634707779035254,623.432,0.0
pjm,shift_16h_all_0.05,shift_16h_all,shift,0.05,[],True,2465.6549999999997,2465.6549999999997,1.0,1043.345,37.469
pjm,shift_16h_all_0.10,shift_16h_all,shift,0.1,[],True,2405.604,2405.604,1.0,1562.12,56.81100000000001
pjm,shift_16h_all_0.20,shift_16h_all,shift,0.2,[],True,2249.098,2249.098,1.0,3086.1490000000003,117.389
pjm,shift_16h_all_0.30,shift_16h_all,shift,0.3,[],True,2104.1090000000004,2104.1090000000004,1.0,4585.305,180.604
pjm,shift_16h_all_0.40,shift_16h_all,shift,0.4,[],True,1967.474,1967.474,1.0,6059.6939999999995,245.65399999999997
pjm,shift_16h_all_0.50,shift_16h_all,shift,0.5,[],True,1839.2240000000002,1839.2240000000002,1.0,7491.777,311.43399999999997
pjm,shift_16h_all_0.60,shift_16h_all,shift,0.6,[],True,1720.344,1720.344,1.0,8871.368,378.48
pjm,shift_16h_all_0.70,shift_16h_all,shift,0.7,[],True,1610.4759999999999,1610.4759999999999,1.0,10220.702,445.579
pjm,shift_16h_all_0.80,shift_16h_all,shift,0.8,[],True,1508.523,1508.523,1.0,11498.525,510.55100000000004
pjm,shift_16h_all_0.90,shift_16h_all,shift,0.9,[],True,1415.3890000000001,1415.3890000000001,1.0,12696.133,571.471
pjm,shift_16h_all_1.00,shift_16h_all,shift,1.0,[],True,1331.567,1331.567,1.0,13790.129,626.692
pjm,shift_4h_all_0.05,shift_4h_all,shift,0.05,[],True,2534.415,2534.415,1.0,356.449,96.93200000000002
pjm,shift_4h_all_0.10,shift_4h_all,shift,0.1,[],True,2508.254,2508.254,1.0,530.7570000000001,145.472
pjm,shift_4h_all_0.20,shift_4h_all,shift,0.2,[],True,2452.0,2452.0,1.0,1017.717,291.77200000000005
pjm,shift_4h_all_0.30,shift_4h_all,shift,0.3,[],True,2403.87,2403.87,1.0,1479.996,437.11099999999993
pjm,shift_4h_all_0.40,shift_4h_all,shift,0.4,[],True,2360.9489999999996,2360.9489999999996,1.0,1919.69,580.6990000000001
pjm,shift_4h_all_0.50,shift_4h_all,shift,0.5,[],True,2322.341,2322.341,1.0,2339.9139999999998,721.2179999999998
pjm,shift_4h_all_0.60,shift_4h_all,shift,0.6,[],True,2288.77,2288.77,1.0,2737.4939999999997,859.45
pjm,shift_4h_all_0.70,shift_4h_all,shift,0.7,[],True,2259.515,2259.515,1.0,3112.419,994.97
pjm,shift_4h_all_0.80,shift_4h_all,shift,0.8,[],True,2233.49,2233.49,1.0,3463.6670000000004,1126.504
pjm,shift_4h_all_0.90,shift_4h_all,shift,0.9,[],True,2211.276,2211.276,1.0,3784.093,1251.564
pjm,shift_4h_all_1.00,shift_4h_all,shift,1.0,[],True,2193.31,2193.31,1.0,4070.799,1368.866
pjm,shift_8h_all_0.05,shift_8h_all,shift,0.05,[],True,2507.527,2507.527,1.0,646.215,77.923
pjm,shift_8h_all_0.10,shift_8h_all,shift,0.1,[],True,2467.99,2467.99,1.0,965.278,116.94999999999999
pjm,shift_8h_all_0.20,shift_8h_all,shift,0.2,[],True,2371.886,2371.886,1.0,1881.721,234.697
pjm,shift_8h_all_0.30,shift_8h_all,shift,0.3,[],True,2285.2799999999997,2285.2799999999997,1.0,2763.942,352.798
pjm,shift_8h_all_0.40,shift_8h_all,shift,0.4,[],True,2204.828,2204.828,1.0,3617.1679999999997,470.52799999999996
pjm,shift_8h_all_0.50,shift_8h_all,shift,0.5,[],True,2130.156,2130.156,1.0,4436.459,586.581
pjm,shift_8h_all_0.60,shift_8h_all,shift,0.6,[],True,2061.291,2061.291,1.0,5230.445,700.972
pjm,shift_8h_all_0.70,shift_8h_all,shift,0.7,[],True,1998.791,1998.791,1.0,5989.3550000000005,813.184
pjm,shift_8h_all_0.80,shift_8h_all,shift,0.8,[],True,1941.915,1941.915,1.0,6706.603999999999,921.629
pjm,shift_8h_all_0.90,shift_8h_all,shift,0.9,[],True,1890.9789999999998,1890.9789999999998,1.0,7367.003000000001,1023.7030000000001
pjm,shift_8h_all_1.00,shift_8h_all,shift,1.0,[],True,1846.74,1846.74,1.0,7968.329,1119.033
