region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,605560.8,3654916600.0,-89.41008374437853,value
p124,24353.922,23290.08,22996172.0,-46.261699555908564,value
p113,14831.151,9365.064,328775680.0,-16.62558191652132,value
p125,3919.1003,2870.785,258986860.0,-4.04775471546696,value
p126,12716.168,10501.156,1824293600.0,-1.2141751531367504,value
p110,0.0,47.970997,99486340.0,0.48218678995274283,value
p109,13.8359995,652.48193,1123909900.0,0.5682358855623842,value
p117,4.872,197.12999,262161950.0,0.733355807481934,value
p116,0.0,299.42,404781700.0,0.7397073606806569,value
p111,1848.435,4647.686,1354601900.0,2.0664750956904046,value
p114,179.839,1328.291,510494340.0,2.249686076830439,value
p112,46.225998,3275.0427,1310099300.0,2.4645587040557584,value
p120,3.307,148.058,43246748.0,3.347095601269256,value
p115,0.0,2100.3015,604805100.0,3.4726913356818145,value
z122,0.0,10078.548,2634114000.0,3.8261623514943572,value
p123,3534.9717,9584.428,1503455500.0,4.023701631531109,value
p121,0.0,569.0171,126688130.0,4.491479264734261,value
p100,102.355,1466.5238,123685440.0,11.029340236005144,value
p118,9798.439,28956.98,583109300.0,32.85583098353949,value
