region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,561946.9,3654916600.0,-101.34302358342616,value
p124,24353.922,22047.709,22996172.0,-100.28682165014244,value
p113,14831.151,11349.962,328775680.0,-10.588340962445885,value
p125,3919.1003,2984.745,258986860.0,-3.6077323983505205,value
p118,9798.439,8288.233,583109300.0,-2.5899191951165412,value
p126,12716.168,11273.482,1824293600.0,-0.7908189639506453,value
p111,1848.435,1704.3162,1354601900.0,-0.10639199951014977,value
p114,179.839,132.811,510494340.0,-0.09212247165852981,value
p123,3534.9717,3515.4673,1503455500.0,-0.012973047859199581,value
p120,3.307,2.813,43246748.0,-0.011422824208654944,value
p117,4.872,2.134,262161950.0,-0.01044392589814101,value
p112,46.225998,34.33,1310099300.0,-0.009080226014740768,value
p109,13.8359995,7.538,1123909900.0,-0.005603651651474748,value
p115,0.0,0.0,604805100.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
p121,0.0,0.0,126688130.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p100,102.355,111.871,123685440.0,0.07693710755283718,value
