feature,all_hours_mean,event_hours_mean,eue_weighted_mean,top100_hours_mean
load_pctile,0.4999999403953552,0.722781800089754,0.9738972657998072,0.9840751451253891
net_load_pctile,0.5000001192092896,0.9692353688479228,0.9951117148610858,0.9948974484205246
margin_pctile,0.5000000596046448,0.030746558899657845,0.0048969413210593025,0.0051060509966191605
cf_solar,0.22658325731754303,0.10238463050379464,0.03450234951333645,0.03282708634913433
cf_wind,0.4251210391521454,0.16032207261166792,0.3313385472558505,0.31335510147357126
margin_mw,4060.79248046875,-6960.768300445576,-17463.958552114073,-18953.01
load_added_mw,443.77532958984375,1690.3031190324634,3743.376722466834,3931.43
sys_load_pctile,,0.7138767825003978,0.9745395649013446,0.9871238791942596
sys_net_load_pctile,,0.8144084446853054,0.9887552280531857,0.9936298626661301
