region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,20684.818,30.0,-3669.1039999999994,-122.30346666666665,value
p125,3919.1003,3031.27,9.0,-887.8303000000001,-98.64781111111112,value
p113,14831.151,12407.73,116.0,-2423.4210000000003,-20.89156034482759,value
p99,932347.2,838782.8,4696.0,-93564.3999999999,-19.92427597955705,value
p126,12716.168,11225.199,157.0,-1490.9689999999991,-9.496617834394899,value
p118,9798.439,8554.348,749.0,-1244.0910000000003,-1.6610026702269698,value
p114,179.839,109.71901,181.0,-70.11999,-0.3874032596685083,value
p117,4.872,2.362,28.0,-2.51,-0.08964285714285714,value
p109,13.8359995,3.2749999,181.0,-10.560999599999999,-0.05834806408839778,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.635,1433.0,0.635,0.00044312630844382415,value
p112,46.225998,53.254,464.0,7.028002000000001,0.01514655603448276,value
p120,3.307,3.764,24.0,0.45699999999999985,0.01904166666666666,value
p100,102.355,109.77,159.0,7.414999999999992,0.046635220125786116,value
p111,1848.435,1904.0459,480.0,55.61090000000013,0.11585604166666694,value
p123,3534.9717,3674.003,989.0,139.0313000000001,0.14057765419615784,value
