region,nodr_eue,case_eue,load,dneue_ppm,category
p99,932347.2,723982.2,3654916600.0,-57.00950865579913,value
p124,24353.922,23615.895,22996172.0,-32.093471904802165,value
p113,14831.151,13646.615,328775680.0,-3.602869895972841,value
p118,9798.439,9215.077,583109300.0,-1.0004333458492272,value
p125,3919.1003,3772.0205,258986860.0,-0.5679044787383501,value
p126,12716.168,12135.22,1824293600.0,-0.3184509279699116,value
p114,179.839,156.81999,510494340.0,-0.04509160704968136,value
p117,4.872,2.128,262161950.0,-0.010466812514426197,value
p109,13.8359995,11.064999,1123909900.0,-0.0024655005971439587,value
p112,46.225998,45.551,1310099300.0,-0.0005152265828808936,value
p121,0.0,0.0,126688130.0,0.0,no_eue
p116,0.0,0.0,404781700.0,0.0,no_eue
p115,0.0,0.0,604805100.0,0.0,no_eue
p110,0.0,0.0,99486340.0,0.0,no_eue
z122,0.0,0.604,2634114000.0,0.00022929910740144231,value
p120,3.307,3.4989998,43246748.0,0.004439635553637467,value
p111,1848.435,1869.5541,1354601900.0,0.015590632706175854,value
p123,3534.9717,3567.4924,1503455500.0,0.021630637062132984,value
p100,102.355,112.889,123685440.0,0.08516766403547574,value
