region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,20717.2,22996172.0,-158.144668599626,value
p99,932347.2,414936.78,3654916600.0,-141.56558835500522,value
p113,14831.151,5302.0884,328775680.0,-28.983477731686243,value
p125,3919.1003,1778.0087,258986860.0,-8.267182230524247,value
p126,12716.168,7436.8335,1824293600.0,-2.8939061165346436,value
p110,0.0,29.401,99486340.0,0.29552802105406717,value
p109,13.8359995,402.05194,1123909900.0,0.3454155396664684,value
p116,0.0,251.79399,404781700.0,0.6220488537110137,value
p117,4.872,196.54797,262161950.0,0.7311357294135497,value
p114,179.839,999.468,510494340.0,1.605559439546847,value
p111,1848.435,4419.4395,1354601900.0,1.8979779841671798,value
p112,46.225998,2791.681,1310099300.0,2.095608282000432,value
p120,3.307,95.51501,43246748.0,2.132137426841898,value
p115,0.0,1320.1449,604805100.0,2.182760787474815,value
z122,0.0,8953.834,2634114000.0,3.399182357650142,value
p121,0.0,488.28302,126688130.0,3.8542129219874495,value
p123,3534.9717,10855.921,1503455500.0,4.8694153956887885,value
p100,102.355,1789.268,123685440.0,13.638735488995309,value
p118,9798.439,27960.275,583109300.0,31.1465374094386,value
