region,nodr_eue,case_eue,load,dneue_ppm,category
p124,24353.922,21544.934,22996172.0,-122.15024309263288,value
p99,932347.2,558971.56,3654916600.0,-102.15708866865613,value
p113,14831.151,3199.0447,328775680.0,-35.38006917056639,value
p125,3919.1003,717.6669,258986860.0,-12.361373664109852,value
p126,12716.168,4887.8413,1824293600.0,-4.29115497784076,value
p110,0.0,39.678997,99486340.0,0.3988386606176752,value
p109,13.8359995,553.001,1123909900.0,0.47972262390132114,value
p116,0.0,380.78897,404781700.0,0.9407267516365166,value
p117,4.872,309.83002,262161950.0,1.1632428644718056,value
p114,179.839,1484.9384,510494340.0,2.5565404118411217,value
p115,0.0,1796.802,604805100.0,2.9708776274909843,value
p120,3.307,133.113,43246748.0,3.0015204842685517,value
p111,1848.435,6180.821,1354601900.0,3.1982726000339983,value
p112,46.225998,4318.9087,1310099300.0,3.261342564401346,value
z122,0.0,14369.158,2634114000.0,5.455025005811746,value
p121,0.0,715.484,126688130.0,5.647601012779982,value
p123,3534.9717,15311.101,1503455500.0,7.8327089787443045,value
p100,102.355,2490.534,123685440.0,19.30848934199531,value
p118,9798.439,27209.479,583109300.0,29.858964077047702,value
