region,dneue_ppm,category
p64,-75.22409957746501,value
p65,-66.70319643352599,value
p63,-55.75090276075055,value
p67,-3.8854878118411627,value
p61,-0.032352164330291554,value
p60,0.0,no_eue
p62,0.0,no_eue
