eue_eps,n_events,n_event_hours,total_eue_mwh,median_duration_h,max_duration_h
0.01,298,1020,804376.4569999999,2.0,30
0.1,288,986,804374.586,2.0,30
1.0,241,851,804310.3130000001,2.0,29
10.0,159,615,803292.475,2.0,27
