region,base_eue,case_eue,rel,category
p63,5083.6797,421769.88,81.96547085765455,ratio
p65,2765.343,199873.89,71.27815500644948,ratio
p64,2211.9,171396.39,76.4883086938831,ratio
p67,107.34701,11330.568,104.55084859839133,ratio
p61,0.0,5.812,,new
p62,0.0,0.0,,none
p60,0.0,0.0,,none
