region,nodr_eue,case_eue,added_peak_mw,delta_eue,per_mw,category
p124,24353.922,21028.48,30.0,-3325.441999999999,-110.84806666666664,value
p125,3919.1003,3087.7117,9.0,-831.3886000000002,-92.37651111111114,value
p113,14831.151,12471.624,116.0,-2359.527,-20.34075,value
p99,932347.2,840429.44,4696.0,-91917.76000000001,-19.573628620102216,value
p126,12716.168,11348.976,157.0,-1367.191999999999,-8.708229299363051,value
p118,9798.439,8576.292,749.0,-1222.1470000000008,-1.6317049399198944,value
p114,179.839,111.13601,181.0,-68.70299,-0.3795745303867403,value
p117,4.872,2.52,28.0,-2.352,-0.08399999999999999,value
p109,13.8359995,3.839,181.0,-9.9969995,-0.05523204143646408,value
p116,0.0,0.0,43.0,0.0,0.0,no_eue
p121,0.0,0.0,83.0,0.0,0.0,no_eue
p110,0.0,0.0,16.0,0.0,0.0,no_eue
p115,0.0,0.0,329.0,0.0,0.0,no_eue
z122,0.0,0.67399997,1433.0,0.67399997,0.0004703419190509421,value
p112,46.225998,53.386,464.0,7.160002000000006,0.01543103879310346,value
p120,3.307,3.727,24.0,0.41999999999999993,0.017499999999999998,value
p100,102.355,109.712,159.0,7.356999999999999,0.04627044025157232,value
p111,1848.435,1909.045,480.0,60.61000000000013,0.1262708333333336,value
p123,3534.9717,3673.6172,989.0,138.64550000000008,0.1401875631951467,value
